"ndc","rxcui","va"
"00093614882",1235267,"HS200"
"00093681573",349094,"RE101"
"00093681673",351109,"RE101"
"00093681773",252559,"RE101"
"00093718810",313990,"CN609"
"00093719801",313989,"CN609"
"00093719805",313989,"CN609"
"00093719856",313989,"CN609"
"00093720110",904467,"CV350"
"00093720198",904467,"CV350"
"00093720210",904475,"CV350"
"00093720298",904475,"CV350"
"00093727098",904481,"CV350"
"00093727156",317573,"HS502"
"00093727198",317573,"HS502"
"00093727256",312440,"HS502"
"00093727298",312440,"HS502"
"00093727356",312441,"HS502"
"00093727398",312441,"HS502"
"00093729001",1490065,"HS900"
"00093729501",200032,"CV100"
"00093729505",200032,"CV100"
"00093729601",200033,"CV100"
"00093729605",200033,"CV100"
"00093733401",199058,"IM600"
"00093735598",310346,"HS900"
"00093736756",979468,"CV400"
"00093736910",979464,"CV400"
"00093738498",313583,"CN609"
"00093738598",313585,"CN609"
"00093738698",313581,"CN609"
"00093747489",200328,"AN300"
"00093753656",199224,"AN900"
"00093762056",200064,"AN900"
"00093767902",1367436,"HS200"
"00093770198",855172,"AH105"
"00093770456",476556,"AM800"
"00093818064",1115698,"AM800"
"00093820401",197507,"GA301"
"00093831118",359494,"CN105"
"00093834401",310537,"HS502"
"00093867575",617993,"AM111"
"00093901865",835894,"IM600"
"00093902065",241834,"IM600"
"00093914901",314277,"CN609"
"00093916301",313580,"CN609"
"00093970201",197444,"CN500"
"00093970210",197444,"CN500"
"00096070735",206208,"DE450"
"00096070737",206208,"DE450"
"00096070760",206208,"DE450"
"00115-1803-02",995253,"AH105"
"00115101003",197391,"MS200"
"00115101203",197392,"MS200"
"00115148601",861237,"CN801"
"00115148701",861221,"CN801"
"00115148801",861223,"CN801"
"00115148901",861225,"CN801"
"00115149101",861232,"CN801"
"00115164301",311995,"AM600"
"00115164501",1648759,"AM600"
"00115165901",856448,"CV100"
"00115165903",856448,"CV100"
"00115168774",349094,"RE101"
"00115169301",856556,"CV100"
"00115169449",1870230,"AU100"
"00115169549",1870225,"AU100"
"00115169606",197787,"HS051"
"00115169701",197782,"HS051"
"00115170001",197783,"HS051"
"00115170901",1101926,"CN802"
"00115173601",1806181,"CN802"
"00115173701",1806187,"CN802"
"00115173801",1806189,"CN802"
"00115173901",1806191,"CN802"
"00115174001",1806193,"CN802"
"00115174101",1806197,"CN802"
"00115175701",866144,"AH107"
"00115180101",1091150,"CN802"
"00115180301",995253,"AH105"
"00115180302",995253,"AH105"
"00115180401",995278,"AH105"
"00115180402",995278,"AH105"
"00115521116",1048445,"CV350"
"00115552210",349287,"CV350"
"00115701009",1116758,"AP101"
"00115703301",313979,"HS052"
"00115991901",899439,"CN802"
"00115992001",899461,"CN802"
"00115992101",899485,"CN802"
"00115992201",899495,"CN802"
"00115993278",242754,"RE102"
"00116-2001-16",834127,"OR500"
"00116200116",834127,"OR500"
"00121050416",993755,"CN101"
"00121057616",104884,"AU300"
"00121059516",543014,"TN478"
"00121064908",212787,"GA301"
"00121067016",251322,"CN400"
